params,totsi,totsi_lci,totsi_uci,singsi,singsi_lci,singsi_uci,sensitive_parameter_cutoff,driver,value,gsa_sample_n
f1,0.5980407703745542,0.3833443032453516,0.7936391634182387,0.6130184121027418,0.4900934320429623,0.7705556981158724,0.05,location_name,"Ellerslie,Harrow",100
f2,0.0035738290322144444,0.0013611957250211368,0.005009768173607772,0.05064076608532229,-0.20204880509522138,0.32917260328889947,0.05,location_name,"Ellerslie,Harrow",100
f3,0.01988153810309487,0.008715800442987774,0.027635906872921875,0.024234265935501924,-0.27032080969743966,0.35152697411906225,0.05,location_name,"Ellerslie,Harrow",100
f5,0.0010903435118709808,-3.0966671539246326e-4,0.0017950521600473895,0.023581789560189713,-0.22989881941683343,0.2870676410680248,0.05,location_name,"Ellerslie,Harrow",100
f6,0.020312089038484287,0.010844946743039787,0.028739078621131543,0.08269803212435739,-0.1679099798508228,0.35100211803442405,0.05,location_name,"Ellerslie,Harrow",100
f7,0.0016368306239109027,0.0010790491131410563,0.0021810341005933575,0.05666135917587501,-0.19284849052727754,0.30861339299794277,0.05,location_name,"Ellerslie,Harrow",100
f8,8.663423127390916e-5,5.1524920443817644e-5,1.1455914791244642e-4,0.03234704418420406,-0.21973801281782507,0.29707747765392767,0.05,location_name,"Ellerslie,Harrow",100
k10,0,0,0,0.030899530999148942,-0.22111988208262773,0.29486956411904464,0.05,location_name,"Ellerslie,Harrow",100
k20,0,0,0,0.030899530999148942,-0.22111988208262773,0.29486956411904464,0.05,location_name,"Ellerslie,Harrow",100
k30,7.529541513043574e-5,4.8511703660908116e-5,9.544084571762012e-5,0.0315337123951805,-0.21870532499124506,0.29442500360168095,0.05,location_name,"Ellerslie,Harrow",100
k40,0.0960910266505228,0.05463131642627406,0.13276380991049852,0.10918639651775923,-0.10105072826257491,0.36237117756076986,0.05,location_name,"Ellerslie,Harrow",100
k50,3.7959492251618586e-4,1.0527177021152161e-4,5.802703842467919e-4,0.026221975656376705,-0.23143431940471587,0.2955332122617531,0.05,location_name,"Ellerslie,Harrow",100
plig,0,0,0,0.030899530999148942,-0.22111988208262773,0.29486956411904464,0.05,location_name,"Ellerslie,Harrow",100
tillfac_FT,0.05726255246979834,0.02928071699252642,0.0773862061288263,0.1095092335468428,-0.12448941241165978,0.40603742327462156,0.05,location_name,"Ellerslie,Harrow",100
tillfac_RT,0,0,0,0.030899530999148942,-0.22111988208262773,0.29486956411904464,0.05,location_name,"Ellerslie,Harrow",100
tmax,0.14799853906614344,0.0669444096352711,0.21257809503092193,0.2897194632221542,0.09200634936118302,0.5165742309883294,0.05,location_name,"Ellerslie,Harrow",100
topt,0.08058771480990948,0.043608719823064884,0.10682048622748748,0.05142555383541014,-0.18307932438688512,0.3657872932182507,0.05,location_name,"Ellerslie,Harrow",100
wfac_irri,0,0,0,0.030899530999148942,-0.22111988208262773,0.29486956411904464,0.05,location_name,"Ellerslie,Harrow",100
