parameter,2.5%,25%,median,75%,97.5%,map,driver,value,n_sample,n_resample
f1,0.017399291635532166,0.10164074226495869,0.25062712127652603,0.4967904609235848,0.7508234833107067,0.10828952797732214,location_name,"Ellerslie,Harrow",1000,100
f2,0.022000792708102415,0.13245385149407235,0.24011496727131854,0.35224182793263137,0.4811460038878621,0.3023993122897962,location_name,"Ellerslie,Harrow",1000,100
f3,0.12891846352070396,0.2893113078122377,0.4581087676937576,0.5960014997693595,0.7679666567415115,0.5451541466384769,location_name,"Ellerslie,Harrow",1000,100
f5,0.038285154662368884,0.05734932008769607,0.06822470592357323,0.08648274519392499,0.09756369314125601,0.08885598435724187,location_name,"Ellerslie,Harrow",1000,100
f6,0.026315028097632982,0.06401825748763454,0.09504966193576345,0.14376089877025516,0.1829617796345871,0.08213058367996082,location_name,"Ellerslie,Harrow",1000,100
f7,0.37859029644495096,0.3978885540125321,0.42377906076214233,0.44445674149283565,0.46056541222199165,0.44525217290469504,location_name,"Ellerslie,Harrow",1000,100
f8,0.4115450849541967,0.4306038963772729,0.4455666661195318,0.4730965715475858,0.49260812261008224,0.43035117010324664,location_name,"Ellerslie,Harrow",1000,100
k10,16.84866971152154,17.50902809326044,18.2804393712576,19.400870974539394,20.259525772379156,17.57357426161188,location_name,"Ellerslie,Harrow",1000,100
k20,4.4399104938807685,4.649439249949638,4.909429124312273,5.177828157682489,5.359338836808822,5.188236089837062,location_name,"Ellerslie,Harrow",1000,100
k30,6.689019318936492,7.049742550262082,7.312044592444311,7.768742584783931,8.09034510311561,7.0935521180081835,location_name,"Ellerslie,Harrow",1000,100
k40,0.07082516836378341,0.1334236924420699,0.1906972414990058,0.24154268634464662,0.29344310298108,0.19746496730255494,location_name,"Ellerslie,Harrow",1000,100
k50,0.0051764619318644105,0.006342574885543727,0.007664545990821789,0.00869460676256509,0.009900255890218541,0.008254818707934203,location_name,"Ellerslie,Harrow",1000,100
plig,2.042077741216554,2.5152540365873137,2.948642221790273,3.484966636064113,3.9281106058667525,2.624559163229642,location_name,"Ellerslie,Harrow",1000,100
tillfac_FT,1.4801039345158449,2.018024169663887,2.637923770560208,3.3279639808790176,3.889830594764885,2.5530188531362965,location_name,"Ellerslie,Harrow",1000,100
tillfac_RT,1.0139281389830983,1.4783746653924466,2.021896741171833,2.576687533230637,2.857269655407592,2.5621509459563425,location_name,"Ellerslie,Harrow",1000,100
tmax,40.93610264927919,42.48874831833585,44.90640634906933,47.16366086036997,49.20913665798501,47.0025979805836,location_name,"Ellerslie,Harrow",1000,100
topt,30.85280409187134,31.760767082704913,33.06483321219482,34.097597895795985,35.14833758709941,33.96041436390849,location_name,"Ellerslie,Harrow",1000,100
wfac_irri,1,1,1,1,1,0.9978964983160579,location_name,"Ellerslie,Harrow",1000,100
